dataset,algorithm,pair,delta_mag_l1,delta_topk_frac,delta_entropy,rank_overlap_mean,rank_overlap_median,delta_js,dce,bac,codf_fix,codf_reg,delta_stability_sigma001,delta_stability_sigma005,baseline_sens_delta_mag_pct,baseline_sens_delta_topk_pct
wine,gb,pair3,9.501746681708456,0.9999999999991022,0.7134262288836387,0.8425925925925926,0.8181818181818182,0.09861903369671664,6.502328753468355,0.04400300826207289,0.20337176311405233,,7.9390630961728546,9.302054766837884,-4.4317532306524186,-1.443289932012556e-13
wine,knn,pair1,46.54879867658738,0.5828960711256911,0.6104979964793258,0.9116161616161614,1.0,0.16700511729130396,43.16646342864024,0.5881633436059377,0.5046833862317153,,266.7371735779992,323.89941746147593,9.49060191129767,9.605969320558154
wine,knn,pair2,0.330047172460094,0.4650640838427295,0.6067694604817564,0.9356384356384356,1.0,0.010543645647514114,0.24507129056066315,0.9119590646862169,,,1.3434511490162064,1.4964228349339648,-9.75612797646782,-12.215085561843944
wine,knn,pair3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
digits,logreg,pair1,7.534900011957765,0.5915734624979933,3.3248266651566345,0.7743942255661005,0.8181818181818182,0.01699951138507779,0.6551189357960042,0.29983317485429073,,0.18559783210196734,0.4457250000816045,0.5661611886225184,-6.198765438842541,13.457738939303457
digits,logreg,pair2,8.1914204212803,0.6186692645858483,3.269236114441386,0.6982171474358974,0.6666666666666666,0.06877400965288882,2.4973389018241194,0.5800386959172278,0.25529272411103365,0.23521742447276098,2.5479075483556453,2.708135335166561,-8.195896222396447,12.053643351462645
digits,logreg,pair3,1.0567645091409947,0.567497225082395,3.4011116910580244,0.9453125,1.0,0.0021379405349003663,0.31804568867160976,0.3552984808870437,,,0.260829219017382,0.2678265743626655,-11.779933057225648,15.290232507914435
digits,svc,pair1,0.7706911922784214,0.6240478842083917,3.1088929521457946,0.5904486548292178,0.6666666666666666,0.09378865054379182,0.7279884054760046,0.7717057433630531,0.18879376564797576,0.2396436270968875,0.00535713725352315,0.08608230070884376,-19.36826921738124,10.935136718145833
digits,svc,pair2,0.0162670175341426,0.5960899173876149,3.2884935383609126,0.9701704545454546,1.0,0.0005532259261899448,0.015855672231638543,0.060510235885763514,,,0.0002565070230298852,0.0018196780322594663,-47.70674998171592,8.76293210937665
digits,svc,pair3,0.19851597777128555,0.6060838864939374,3.2492594004170017,0.5690422697303986,0.5384615384615384,0.069010270267478,0.18888733617768114,0.12419838620305153,0.3031030789739406,0.23633115763493354,0.013691245859052152,0.033371170209778755,0.6996228419497547,13.42250452350795
digits,rf,pair1,43.00787030615094,0.8009617995101199,2.4570633933379744,0.6885068056943057,0.6666666666666666,0.06736833511042224,37.31297823365099,0.8939371068967972,0.3386351284700777,,178.27615058714838,35.65523011777637,-19.811876455135078,4.182933333668033
digits,rf,pair2,60.154172162226445,0.8556372420235023,2.3063082881103156,0.6186814487595738,0.6666666666666666,0.13945572543673238,50.801579087579924,0.9399533739877938,0.13805619567496,0.43636224672845225,174.08579196483333,34.81715839330504,-14.507601256585048,3.7135145674604324
digits,rf,pair3,10.73258545453232,0.5561018603475671,3.3146371498788887,0.669290345071595,0.6666666666666666,0.05934935214910401,7.491063455744251,0.9969402640792473,0.2451086777226493,,12.51529743512395,2.503059487050125,-20.369068213879505,10.468514145199844
digits,gb,pair1,9.046725148441539,0.9075031836448938,2.2088147964601372,0.7161403241366477,0.6666666666666666,0.0347343063341017,4.899760103134785,0.7270342619508794,,0.3688239317537746,0.16935694828361328,0.033871389657074646,-0.25477569345224016,2.053278798423791
digits,gb,pair2,10.971390913302479,0.9337903107552668,2.0857845992912107,0.7585477864659851,0.8181818181818182,0.025348090389996056,6.2257468427536455,0.7138516565609949,0.47511942221481085,,0.035468773436844375,0.0070937546874399815,-0.03666157284064938,1.6626211211910096
digits,gb,pair3,19.669161738957307,0.9023340387505647,2.2274630318532154,0.4718955217576541,0.42857142857142855,0.12086945885031211,7.673940627795697,0.3713943101079443,0.3521276894014907,0.16654512744287114,5.866594298829402,1.1733188597778206,-1.4857826206923221,2.3017746790812748
digits,knn,pair1,65.80824466460066,0.39898973643384655,0.6717845396071785,0.6971413539537088,1.0,0.1082928969914585,60.91193230425496,0.2760189510234708,0.30225543632854607,0.22126369304274954,7.36557329252268,74.42179165864246,-3.2026318787621055,16.221247148286384
digits,knn,pair2,0.24282889881096772,0.20375835776405024,0.4218077756743164,0.9320656110637728,1.0,0.009239567642205867,0.20401740750618647,0.8839704055922257,,,0.06266551340356517,0.1744263215258467,-4.500213081793494,14.084085459653325
digits,knn,pair3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
